"game.num","retroID","inning","hit.cod","pitches"
1,"gorda001",2,"S","SSFX"
1,"fuenr001",3,"S","BX"
1,"hosme001",4,"S","BFFFX"
1,"gorda001",4,"D","BBX"
1,"escoa003",5,"S","CSFX"
1,"hosme001",6,"S","CBBFX"
1,"infao001",7,"S","BX"
1,"fuenr001",7,"S","X"
1,"hosme001",8,"S",".BX"
1,"morak001",8,"HR","*BCB*BCFX"
1,"escoa003",9,"S","CX"
2,"escoa003",1,"S","BFX"
2,"mousm001",1,"S","BBX"
2,"cainl001",1,"HR","BC1BCBX"
2,"infao001",2,"D","BCBX"
2,"gorda001",4,"S","CBFFBBX"
2,"hosme001",6,"S","X"
2,"orlap001",7,"S","CBX"
3,"mousm001",1,"D","BBBCFX"
3,"morak001",2,"D","FBBX"
3,"hosme001",4,"S","CX"
3,"infao001",5,"D","BCX"
3,"cainl001",6,"S","BCX"
3,"hosme001",6,"S","1X"
3,"escoa003",7,"S","CBBCFX"
3,"peres002",8,"HR","1SFBX"
4,"mousm001",1,"HR","FCBX"
4,"cainl001",1,"S","SX"
4,"hosme001",1,"S","CCB.BBX"
4,"orlap001",6,"S","BCBX"
4,"cainl001",6,"S","BX"
4,"hosme001",6,"D","BCX"
4,"morak001",6,"D","CBC*BBX"
4,"gorda001",6,"D","BBX"
4,"peres002",6,"S","BX"
4,"infao001",6,"S",".X"
4,"gorda001",8,"S","CX"
4,"infao001",8,"S","*BBX"
4,"mousm001",9,"S","BX"
5,"kinsi001",1,"S","X"
5,"cabrm001",1,"S","1C*BFX"
5,"castn001",2,"S","X"
5,"uptoj001",3,"S","SFX"
5,"martj006",7,"S","BX"
6,"martv001",2,"D","CBBCX"
6,"castn001",2,"D","SSX"
6,"iglej001",3,"S","CX"
6,"cabrm001",3,"S","CF*BBB>X"
6,"castn001",4,"S","CFBBX"
6,"iglej001",5,"D","X"
6,"cabrm001",5,"D","X"
6,"castn001",6,"S","CBBFX"
6,"saltj001",6,"HR","BCS*BX"
6,"martj006",7,"S","BX"
6,"gosea001",8,"S","CBX"
6,"kinsi001",8,"S","CX"
6,"cabrm001",9,"S",".BFCX"
6,"martv001",9,"D","CC*BX"
7,"saltj001",3,"S","CX"
7,"kinsi001",3,"S","CX"
7,"martv001",4,"S","X"
7,"saltj001",5,"HR","FX"
7,"iglej001",5,"S","BCCX"
7,"kinsi001",5,"HR","S1F1BBFX"
7,"martj006",6,"HR","SCBX"
7,"castn001",8,"S","X"
8,"bettm001",1,"T","FBBX"
8,"pedrd001",1,"S","FFX"
8,"bogax001",1,"S","CBBCBFX"
8,"bradj001",2,"D","BSX"
8,"bettm001",2,"D","2X"
8,"ramih003",3,"S","CX"
8,"shawt001",3,"S","1BCCX"
8,"holtb002",3,"S","CCBBFB.FX"
8,"bettm001",4,"S","CBSX"
8,"bogax001",4,"D","BSFX"
8,"ramih003",5,"S",".BSX"
8,"shawt001",5,"S","FCBFBX"
